trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
31,False,"{'a': 0.5, 'e': 0.38897685648686287}",25,15,5.379452010228359,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.377307550792257}",20,7,-55.013593447792914,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.36598832426848926}",30,9,-11.845875196571123,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.35500867454043455}",25,14,-6.120349552966464,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.3443584143042215}",25,2,1.7644875331518437,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.3340276618750948}",20,0,-45.596514765588196,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.32400683201884195}",20,7,-112.78800887009986,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 3}",1
38,False,"{'a': 0.5, 'e': 0.3142866270582767}",20,10,-50.450367615505485,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.3048580282465284}",25,1,-70.41134903452556,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 2}",1
40,False,"{'a': 0.5, 'e': 0.2957122873991326}",20,5,-5.412680493304855,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.2868409187771586}",30,7,20.13051615592553,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.27823569121384384}",20,9,7.249831198733921,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.2698886204774285}",25,10,6.643310009699757,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.26179196186310566}",25,20,6.651897846530999,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.2539382030072125}",30,14,-2.40765486890579,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.2463200569169961}",20,11,5.706705546258233,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.23893045520948622}",20,0,28.218924906756207,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
